# 测试日期：2026-09-14；最近30天；全部地区；全部设备。列之间为制表符，可复制到表格。
# 搜索量为包含关键词的搜索次数，不是精确匹配量或独立人数；各行不可直接相加。
# 未返回不等于已确认的0。采用与人工备注列可自行填写；脚本不会据此自动生成筛选后的报告。
# 本次14次关键词请求预计费用：RUB 0.28（含税）或 USD 0.0022950816（未税），按合同币种；未核实账单。
# 保留所有热门词和关联词供人工筛选；关联词中有明显无关内容。热门词可能包含种子词本身。
# 关键词	搜索量	来源类型	来源种子词	采用（待定/是/否）	人工备注
ноотропы для улучшения мозгового кровообращения	160	关联词	глубокая стимуляция мозга	待定	
как стать умнее и повысить уровень интеллекта	174	关联词	глубокая стимуляция мозга	待定	
медитация на богатство и изобилие мощная слушать	89	关联词	глубокая стимуляция мозга	待定	
стимуляторы мозговой активности	112	关联词	глубокая стимуляция мозга	待定	
медитация для улучшения мозгового кровообращения	73	关联词	глубокая стимуляция мозга	待定	
трансплантация костного мозга	4873	热门词	трансплантация костного мозга	待定	
после трансплантации костного мозга	1191	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга как происходит	253	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга донор	248	热门词	трансплантация костного мозга	待定	
трансплантация клеток костного мозга	228	热门词	трансплантация костного мозга	待定	
отделение трансплантации костного мозга	205	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга при лейкозе	192	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга детям	192	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга отзывы	142	热门词	трансплантация костного мозга	待定	
сколько стоит трансплантация костного мозга	135	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга стволовых	134	热门词	трансплантация костного мозга	待定	
трансплантация стволовых клеток костного мозга	134	热门词	трансплантация костного мозга	待定	
лимфома трансплантация костного мозга	128	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга в россии	127	热门词	трансплантация костного мозга	待定	
аллогенная трансплантация костного мозга	122	热门词	трансплантация костного мозга	待定	
сколько трансплантаций костного мозга должно выполняться ежегодно	111	热门词	трансплантация костного мозга	待定	
аутологичная трансплантация костного мозга	109	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга при миеломе	97	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга в москве	88	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга гематология	85	热门词	трансплантация костного мозга	待定	
люди после трансплантации костного мозга	76	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга при лимфоме ходжкина	73	热门词	трансплантация костного мозга	待定	
множественная миелома трансплантация костного мозга	69	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга операция	68	热门词	трансплантация костного мозга	待定	
день трансплантации костного мозга	66	热门词	трансплантация костного мозга	待定	
центр трансплантации костного мозга	66	热门词	трансплантация костного мозга	待定	
как проходит трансплантация костного мозга	66	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга цена	66	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга при множественной	65	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга инвалидность	62	热门词	трансплантация костного мозга	待定	
дети после трансплантации костного мозга	55	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга стоимость	53	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга отзывы пациентов	53	热门词	трансплантация костного мозга	待定	
инвалидность после трансплантации костного мозга	49	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга клиники	49	热门词	трансплантация костного мозга	待定	
группа после трансплантации костного мозга	47	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга последствия	43	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга форум	42	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга санкт петербург	39	热门词	трансплантация костного мозга	待定	
где делают трансплантацию костного мозга	39	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга при остром лейкозе	38	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга рецидив	38	热门词	трансплантация костного мозга	待定	
жить после трансплантации костного мозга	36	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга выживаемость	35	热门词	трансплантация костного мозга	待定	
первая трансплантация костного мозга	34	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга при миеломной болезни	33	热门词	трансплантация костного мозга	待定	
трансплантация костного мозга при лейкозе как происходит	33	热门词	трансплантация костного мозга	待定	
процедура трансплантации костного мозга	32	热门词	трансплантация костного мозга	待定	
прогноз трансплантации костного мозга	31	热门词	трансплантация костного мозга	待定	
как проводится трансплантация костного мозга	30	热门词	трансплантация костного мозга	待定	
мозговые косточки	12845	关联词	трансплантация костного мозга	待定	
мозговые кости	26865	关联词	трансплантация костного мозга	待定	
препараты улучшающие мозговое кровообращение и память	587	关联词	трансплантация костного мозга	待定	
уколы для мозгового кровообращения	1655	关联词	трансплантация костного мозга	待定	
для мозгового кровообращения	27344	关联词	трансплантация костного мозга	待定	
трепанация черепа последствия	674	关联词	трансплантация костного мозга	待定	
миелоидный лейкоз что это такое	316	关联词	трансплантация костного мозга	待定	
мозговые косточки рецепт	1452	关联词	трансплантация костного мозга	待定	
перелом лучевой кости в типичном месте	1461	关联词	трансплантация костного мозга	待定	
трансплантат	6269	关联词	трансплантация костного мозга	待定	
лекарство для мозгового кровообращения	2503	关联词	трансплантация костного мозга	待定	
миелоидный лейкоз что это	714	关联词	трансплантация костного мозга	待定	
уколы для улучшения мозгового кровообращения	798	关联词	трансплантация костного мозга	待定	
что пропить для памяти и мозговой активности	314	关联词	трансплантация костного мозга	待定	
препараты для мозгового кровообращения	11991	关联词	трансплантация костного мозга	待定	
уколы для мозгового кровообращения и улучшения памяти	342	关联词	трансплантация костного мозга	待定	
ноотропы для улучшения мозгового кровообращения	160	关联词	трансплантация костного мозга	待定	
острый миелоидный лейкоз что это	181	关联词	трансплантация костного мозга	待定	
научно клинический центр гематологии онкологии и иммунологии	284	关联词	трансплантация костного мозга	待定	
